Hindi,English
अथवा,Or
भाग ,Part
क्योंकि ,because
सिंह ,Lion
ठीक ,Fine
स्थिति ,Event
परन्तु ,But
स्थान ,Location
यही ,This only
क्यों ,why
गाँव ,village
राज्य ,state
अलग ,Separate
लेकर ,With
अभी ,Now
इसमें ,in this
विभिन्न ,Diverse
सी ,C
विचार ,Idea
जिस ,That
बाहर ,out
ऊपर ,above
बना ,Prepared
तैयार ,ready
अनेक ,Several
सामने ,Front
शिक्षा ,education
शरीर ,body
होकर ,In
दृष्टि ,Vision
श्री ,Mister
थीं ,Was
दूर ,far
शब्द ,Word
ध्यान ,attention
चार ,four
मेरी ,My
बड़ा ,big
पता ,Know
लगता ,Festive
आगे ,beyond
किया ,Did
उत्तर ,Answer
किन्तु ,But
आने ,Arrival
लगे ,Logged
लगभग ,About
इसे ,This
लाख ,lakh
बारे ,About
होना ,Happen
इससे ,From this
मात्रा ,Quantity
अध्ययन ,study
वाला ,Wave
जिसमें ,In which
नीचे ,below
अर्थ ,Meaning
लोक ,Folk
आवश्यक ,Necessary
हो ,Ho
माँ ,mom
छोटे ,Small
प्रतिशत ,Percent
शुरू ,Start
अगर ,If
इतना ,this much
आया ,Came
होगी ,Will be
मिल ,Mill
स्वयं ,Self
रात ,Night
बिना ,without
हमें ,Us
उपयोग ,Use
किए ,Done
महत्वपूर्ण ,important
मुख्य ,main
साल ,year
ज्यादा ,More
साहित्य ,Literature
पूर्व ,East
निर्माण ,Construction
विषय ,Subject
जिससे ,By which
देख ,See
चित्र ,Picture
लगी ,Lagged
प्रत्येक ,each
मनुष्य ,Human
गई ,Went
स्पष्ट ,Obvious
दिनों ,Days
रंग ,color
इसकी ,his
स्तर ,level
मेरा ,my
दूसरी ,Second
अच्छा ,Good
रोग ,Disease
काल ,Era
अच्छी ,Good
विज्ञान ,science
भाई ,brother
ज्ञान ,Knowledge
दिल्ली ,Delhi
बनाने ,Make
रुपये ,Rupees
रखा ,kept
आवश्यकता ,Need
आता ,come
कौन ,who
हों ,Ho
आर्थिक ,Economic
सहायता ,Help
अतिरिक्त ,spare
देर ,Late
तरफ ,Side
लेने ,Take
चला ,walked
सामाजिक ,social
समझ ,Understanding
मगर ,but
आते ,Come
बच्चे ,children
कला ,art
पत्र ,Letter
भीतर ,Inner
संस्कृति ,culture
उनमें ,In those
वर्ग ,Social class
विभाग ,Department
चाहता ,Want
सिर ,head
बताया ,Told
जगह ,location
वही ,Same
इतनी ,So much
स्थापित ,established
राष्ट्रीय ,National
स्वर ,Vocal
क्षेत्रों ,Areas
जिसके ,Whose
जन्म ,Birth
जाए ,Go
दौरान ,During
गांधी ,Gandhi
हाँ ,Yes
जनता ,public
किस ,What
केन्द्र ,Center
साहब ,Sir
पूर्ण ,Full
पुलिस ,police
बोला ,spoke
थईआ ,Thiaia
कमी ,Shortage
समस्या ,problem
कार्यक्रम ,Program
विवाह ,marriage
भूमि ,land
भाव ,Rate
देखकर ,by seeing
करोड़ ,Ten million
प्रथम ,First
मूल ,Original
परिवर्तन ,Change
बच्चों ,Children
लाभ ,profit
प्रदान ,Grant
आये ,Come
छोटी ,Small
स्त्री ,Woman
सेवा ,service
व्यवहार ,Behaviour
राम ,RAM
रचना ,Composition
की ,Of
भिन्न ,Different
मिट्टी ,Soil
देशों ,Countries
इनके ,Their
आती ,Come
सही ,Correct
उपलब्ध ,available
बल्कि ,Rather
प्राय ,At the time
बिजली ,Lightning
लेते ,Take
जान ,Life
बढ़ ,Enhancement
सारे ,all
शायद ,Perhaps
सरकारी ,Government
पड़ ,Fall
चुका ,Reproach
पड़ा ,Lying
विधि ,process
छोड़ ,leave
लिखा ,wrote
जबकि ,while
सिर्फ ,Only
दर्शन ,Visit
प्रक्रिया ,Process
दिखाई ,Visible
कुल ,Total
शब्दों ,Words
लाल ,red
निकल ,Out
नये ,New
रखने ,Keep
पंजाब ,Punjab
नदी ,river
गए ,went
मृत्यु ,Death
स्वीकार ,Accept
अन्तरिक्ष ,Space
आकर ,Size
याद ,memory
उठा ,picking
दूध ,Milk
कांग्रेस ,Congress
सारी ,all
माध्यम ,Channel
दूसरा ,Second
संबंध ,Relation
जिन ,Ginnie
चाहे ,Whether
चाहते ,Want
प्रणाली ,System
तभी ,Only
होंगे ,Will be
इनमें ,In these
सन ,Sun
मान ,Value
पुत्र ,Son
उद्देश्य ,purpose
विश्वास ,faith
पिछले ,last
ताकि ,So that
निश्चित ,Fixed
जिसका ,Whose
जानकारी ,Information
नेता ,Leader
बालक ,Boy
अन्त ,End
उचित ,Suitable
संगीत ,music
जल्दी ,Soon
क्षमता ,Capacity
हजार ,Thousand
जाएगा ,Will go
बनाया ,Make
पति ,Husband
कोशिश ,Effort
चुके ,Sailed
खाने ,Eating
फसल ,crop
प्रकृति ,nature
पौधों ,Plants
प्रकट ,Revealed
पक्ष ,Party
नीति ,policy
यद्यपि ,Though
मात्र ,Only
भारी ,heavy
पुस्तकालय ,Library
चले ,Let's go
समिति ,Committee
सामग्री ,material
चाहिये ,Want
अन्तर्गत ,Under
माल ,Goods
शामिल ,Involved
बोली ,Dialect
उनसे ,With them
अपेक्षा ,Expectation
हेतु ,For
नगर ,City
